"schema_name","table_name","columns"
"affiliation_ser","aff_case_work_period","start_date, iin, work_bin, end_date, id"
"affiliation_ser","affilation_relatives_fin_pyramide","relation, lvl, main_iin, type, ref_iin, iin, id, name"
"affiliation_ser","affilation_work_finance_pyramide","P_NAME, year, P_RNN, PAY_DATE, AMOUNT, KNP, PERIOD, PERIOD_2, SURNAME, FIRSTNAME, SECONDNAME, IIN, id"
"affiliation_ser","dsb_fl_iin_list","iin"
"affiliation_ser","dsb_pension_period","iin, id, start_date, bin, end_date"
"dictionary","d_access_region","coderegion, id, isactive, is_active, code_region, name"
"dictionary","d_adm_citizenship","name_ru, code, name_kk"
"dictionary","d_adm_qualification","short_name_ru, id, code, name_ru, name_kk, name_qq, short_name_kk, short_name_qq, status, codex_id, paragraphs, fav1r12p1, entrydate"
"dictionary","d_auto_fl","reg_number, vin_kuzov_shassi"
"dictionary","d_auto_reg_number","id, reg_number"
"dictionary","d_auto_ul","reg_number, vin_kuzov_shassi"
"dictionary","d_auto_vin_kuzov","vin_kuzov, id"
"dictionary","d_bank","bik, isactive, is_active, id, name"
"dictionary","d_budget_classification_code","is_active, name_rus, name_kaz, id, code"
"dictionary","d_citizenship","id, name, isactive, is_active"
"dictionary","d_citizenship_relation","id, is_active, name_rus, name_kaz"
"dictionary","d_city","namerus, name_eng, name_rus, name_kaz, isactive, status_id, region_id, id, is_active, namekaz"
"dictionary","d_conviction","name_kaz, isactive, name_rus, is_active, id, namekaz, namerus"
"dictionary","d_country","RU_NAME, CODE, CHANGE_DATE, ID, KZ_NAME"
"dictionary","d_country_old","status_id, name_rus, code, name_kaz, id"
"dictionary","d_court_decision","namerus, isactive, is_active, namekaz, name_rus, name_kaz, id"
"dictionary","d_currency","namekaz, name_rus, id, isactive, is_active, name_kaz, namerus"
"dictionary","d_denomination","name_kaz, namerus, isactive, is_active, name_rus, id, namekaz"
"dictionary","d_director_position","name_kaz, is_active, id, name_rus"
"dictionary","d_district","status_id, d_region_id, id, name_kaz, name_rus, name_eng"
"dictionary","d_district_region_search","region_id, district_name, id, district_id, region_name, region_district_name"
"dictionary","d_districts","KZ_NAME, RU_NAME, ID, KATO, CHANGE_DATE, LOCATION, CODE"
"dictionary","d_doc_invalidity","name_kaz, ru_name, change_date, id, is_active, code"
"dictionary","d_doc_organization","ID, CHANGE_DATE, CODE, KZ_NAME, RU_NAME"
"dictionary","d_document_type","id, is_active, name_kaz, name_rus"
"dictionary","d_document_type_new","CODE, KZ_NAME, RU_NAME, CHANGE_DATE, ID"
"dictionary","d_document_type_old","name_rus, name_kaz, id, is_active"
"dictionary","d_enforcement","id, name_kaz, name_rus, is_active"
"dictionary","d_erdr_decision","name_kaz, isactive, name_rus, namekaz, is_active, namerus, id"
"dictionary","d_figurant_type","name_kaz, id, name_rus, is_active"
"dictionary","d_fl_figurant_roles","name_kaz, name_rus, isactive, namerus, id, namekaz, is_active"
"dictionary","d_fm_erdr_registration_authority","id, isactive, is_active, namerus, namekaz, name_rus, name_kaz"
"dictionary","d_fm_investigation_authority","isactive, namekaz, namerus, name_rus, name_kaz, id, is_active"
"dictionary","d_gender","name_rus, name_kaz, id, is_active"
"dictionary","d_gluing","name_kaz, is_active, isactive, id, name_rus, namekaz, namerus"
"dictionary","d_gos_organ","name_kaz, id, name_rus, namekaz, namerus, is_active, isactive"
"dictionary","d_government_revenue_authority","name_kaz, is_active, name_rus, code, id"
"dictionary","d_half_banknotes","is_active, id, name_kaz, isactive, name_rus, namekaz, namerus"
"dictionary","d_holographic_tape","name_kaz, name_rus, namerus, namekaz, id, is_active, isactive"
"dictionary","d_investigation_authority","is_active, isactive, id, name_kaz, name_rus, namekaz, namerus, region_id"
"dictionary","d_issue_year","namerus, id, isactive, is_active, name_kaz, name_rus, namekaz"
"dictionary","d_kui_registration_authority","name_rus, namerus, namekaz, is_active, id, isactive, name_kaz"
"dictionary","d_liquidation_reason","is_active, id, name_rus, name_kaz"
"dictionary","d_liquidation_type","id, is_active, name_rus, name_kaz"
"dictionary","d_local_watermark","is_active, name_kaz, name_rus, id, isactive"
"dictionary","d_luminescence","name_kaz, is_active, id, isactive, namekaz, name_rus, namerus"
"dictionary","d_manufacturing_method","id, namerus, is_active, name_rus, name_kaz, isactive, namekaz"
"dictionary","d_nationality","id, name_kaz, name_rus, is_active"
"dictionary","d_nationality_new","CHANGE_DATE, RU_NAME, ID, CODE, KZ_NAME"
"dictionary","d_oked","code, id, is_active, name_rus, name_kaz"
"dictionary","d_org_form","name_rus, id, is_active, name_kaz"
"dictionary","d_org_legal_form","name_kaz, is_active, id, abbr_kaz, abbr_rus, name_rus"
"dictionary","d_org_registration_type","name_rus, is_active, id, name_kaz"
"dictionary","d_org_status","id, is_active, name_rus, name_kaz"
"dictionary","d_organization_type","name_rus, id, is_active, name_kaz"
"dictionary","d_ownership_type","is_active, name_rus, name_kaz, id"
"dictionary","d_paper_properties","name_kaz, isactive, name_rus, id, namekaz, is_active, namerus"
"dictionary","d_person_status","RU_NAME, CODE, ID, KZ_NAME, CHANGE_DATE"
"dictionary","d_position","is_active, name, id, isactive"
"dictionary","d_private_enterprise_type","name_rus, is_active, name_kaz, id"
"dictionary","d_qualification","is_active, isactive, name_rus, namerus, id, name_kaz, namekaz"
"dictionary","d_region","CHANGE_DATE, KATO, RU_NAME, KZ_NAME, CODE, BORDER_REGION, ID"
"dictionary","d_regional_public_associations","name_kaz, name_rus, is_active, id"
"dictionary","d_registration_authority","name_rus, name_kaz, id, namerus, is_active, isactive, namekaz"
"dictionary","d_registration_type","name_kaz, is_active, name_rus, id"
"dictionary","d_relation_degree","namerus, namekz, name_kaz, name_rus, name_kz, is_active, isactive, id"
"dictionary","d_relations","parent_id, ru_name, id, level, gender_id, group_id, kz_name, type, test_column_relation"
"dictionary","d_relations_old","test_column_relation, id, level, parent_id, gender_id, group_id, kz_name, ru_name"
"dictionary","d_reorganization_type","id, name_rus, name_kaz, is_active"
"dictionary","d_request_uri_translate","request_method, name_rus, request_uri, namerus, requestmethod, is_active, name_kaz, isactive, namekaz, requesturi, id"
"dictionary","d_risk_group","is_active, namekaz, namerus, name_kaz, id, isactive, name_rus"
"dictionary","d_search_parameters","isactive, id, namerus, name_kaz, name_rus, namekaz, is_active"
"dictionary","d_security_label","name_kaz, name_rus, status_id, id"
"dictionary","d_security_thread","id, name_rus, name_kaz, is_active, isactive"
"dictionary","d_seized_item_type","name_kaz, is_active, id, name_rus"
"dictionary","d_spark_element","isactive, name_kaz, id, name_rus, namekaz, is_active, namerus"
"dictionary","d_state_enterprise_type","is_active, id, name_kaz, name_rus"
"dictionary","d_status","id, isactive, name, is_active"
"dictionary","d_status_ud","isactive, namekaz, namerus, name_kaz, id, is_active, name_rus"
"dictionary","d_structural_subdivision","namekaz, is_active, id, name_kaz, namerus, isactive, name_rus"
"dictionary","d_tax_payment_type","is_active, id, name_rus, name_kaz"
"dictionary","d_tax_posting_type","name_kaz, id, name_rus, is_active"
"dictionary","d_tax_type","name, is_active, id"
"dictionary","d_terminat_ground","status, name_kk, name_ru, code"
"dictionary","d_transparent_window","isactive, name_kaz, name_rus, namekaz, id, namerus, is_active"
"dictionary","d_ul_figurant_roles","namerus, id, isactive, is_active, name_kaz, name_rus, namekaz"
